mcsteps,xCOM,yCOM,il8,il1,il6,il10,tnf,tgf
0,78,62,[8.155469e-08],[0.],[0.],[0.],[0.],[0.]
0,29,17,[3.716848e-09],[0.],[0.],[0.],[0.],[0.]
0,64,24,[3.4276149e-09],[0.],[0.],[0.],[0.],[0.]
0,77,16,[3.7302027e-13],[0.],[0.],[0.],[0.],[0.]
0,29,7,[3.9552712e-16],[0.],[0.],[0.],[0.],[0.]
0,94,2,[0.],[0.],[0.],[0.],[0.],[0.]
0,94,18,[3.4828272e-19],[0.],[0.],[0.],[0.],[0.]
0,94,85,[3.9004964e-25],[0.],[0.],[0.],[0.],[0.]
0,2,25,[3.9004964e-25],[0.],[0.],[0.],[0.],[0.]
0,80,2,[2.919649e-23],[0.],[0.],[0.],[0.],[0.]
0,5,46,[6.5523983e-18],[0.],[0.],[0.],[0.],[0.]
0,76,6,[1.3392488e-16],[0.],[0.],[0.],[0.],[0.]
0,3,92,[0.],[0.],[0.],[0.],[0.],[0.]
0,67,6,[3.4895365e-21],[0.],[0.],[0.],[0.],[0.]
0,7,94,[0.],[0.],[0.],[0.],[0.],[0.]
0,22,96,[1.796013e-21],[0.],[0.],[0.],[0.],[0.]
0,35,30,[1.819602e-11],[0.],[0.],[0.],[0.],[0.]
0,33,46,[7.157298e-12],[0.],[0.],[0.],[0.],[0.]
0,54,49,[1.6345793e-12],[0.],[0.],[0.],[0.],[0.]
0,60,61,[3.7211092e-09],[0.],[0.],[0.],[0.],[0.]
0,85,27,[7.634843e-12],[0.],[0.],[0.],[0.],[0.]
0,53,86,[1.8355147e-11],[0.],[0.],[0.],[0.],[0.]
0,22,51,[1.2810148e-12],[0.],[0.],[0.],[0.],[0.]
0,25,20,[2.872234e-10],[0.],[0.],[0.],[0.],[0.]
0,48,29,[1.8089889e-11],[0.],[0.],[0.],[0.],[0.]
0,37,47,[5.7625754e-10],[0.],[0.],[0.],[0.],[0.]
0,86,29,[2.8716438e-10],[0.],[0.],[0.],[0.],[0.]
0,89,4,[1.2107841e-21],[0.],[0.],[0.],[0.],[0.]
0,75,48,[1.8158168e-11],[0.],[0.],[0.],[0.],[0.]
0,22,65,[2.8711297e-10],[0.],[0.],[0.],[0.],[0.]
0,76,39,[3.4276144e-09],[0.],[0.],[0.],[0.],[0.]
0,27,86,[2.932462e-10],[0.],[0.],[0.],[0.],[0.]
0,82,80,[7.239557e-12],[0.],[0.],[0.],[0.],[0.]
0,27,56,[1.633347e-12],[0.],[0.],[0.],[0.],[0.]
0,64,57,[3.2618797e-13],[0.],[0.],[0.],[0.],[0.]
0,24,85,[3.4459637e-09],[0.],[0.],[0.],[0.],[0.]
0,68,67,[1.4624893e-10],[0.],[0.],[0.],[0.],[0.]
