mcsteps,xCOM,yCOM,il8,il1,il6,il10,tnf,tgf
0,18,35,[3.7056725e-07],[0.],[0.],[0.],[0.],[0.]
0,10,26,[6.053245e-14],[0.],[0.],[0.],[0.],[0.]
0,42,39,[1.07021676e-10],[0.],[0.],[0.],[0.],[0.]
0,42,11,[1.0511393e-10],[0.],[0.],[0.],[0.],[0.]
0,31,31,[2.5496664e-12],[0.],[0.],[0.],[0.],[0.]
0,33,24,[1.9083118e-12],[0.],[0.],[0.],[0.],[0.]
0,8,2,[1.0625868e-18],[0.],[0.],[0.],[0.],[0.]
0,35,2,[1.0625868e-18],[0.],[0.],[0.],[0.],[0.]
0,35,47,[6.457475e-23],[0.],[0.],[0.],[0.],[0.]
0,47,12,[1.0627367e-18],[0.],[0.],[0.],[0.],[0.]
0,47,11,[8.833349e-20],[0.],[0.],[0.],[0.],[0.]
0,39,47,[6.351688e-18],[0.],[0.],[0.],[0.],[0.]
0,39,2,[1.26790325e-20],[0.],[0.],[0.],[0.],[0.]
0,15,42,[2.1416927e-17],[0.],[0.],[0.],[0.],[0.]
0,2,24,[8.399912e-21],[0.],[0.],[0.],[0.],[0.]
0,34,2,[8.831735e-20],[0.],[0.],[0.],[0.],[0.]
0,10,2,[4.2806742e-21],[0.],[0.],[0.],[0.],[0.]
0,14,47,[0.],[0.],[0.],[0.],[0.],[0.]
0,47,5,[0.],[0.],[0.],[0.],[0.],[0.]
0,20,2,[2.6876455e-19],[0.],[0.],[0.],[0.],[0.]
0,6,47,[0.],[0.],[0.],[0.],[0.],[0.]
0,2,5,[1.5067443e-22],[0.],[0.],[0.],[0.],[0.]
0,47,28,[6.351671e-18],[0.],[0.],[0.],[0.],[0.]
0,4,2,[0.],[0.],[0.],[0.],[0.],[0.]
0,47,25,[4.567285e-22],[0.],[0.],[0.],[0.],[0.]
0,2,8,[1.0625868e-18],[0.],[0.],[0.],[0.],[0.]
0,2,13,[1.793743e-24],[0.],[0.],[0.],[0.],[0.]
0,47,6,[0.],[0.],[0.],[0.],[0.],[0.]
0,47,18,[0.],[0.],[0.],[0.],[0.],[0.]
0,11,24,[5.2572308e-11],[0.],[0.],[0.],[0.],[0.]
0,34,29,[4.4122292e-09],[0.],[0.],[0.],[0.],[0.]
0,2,28,[6.351521e-18],[0.],[0.],[0.],[0.],[0.]
0,44,2,[0.],[0.],[0.],[0.],[0.],[0.]
0,48,44,[1.5067443e-22],[0.],[0.],[0.],[0.],[0.]
0,30,47,[0.],[0.],[0.],[0.],[0.],[0.]
0,31,47,[6.457475e-23],[0.],[0.],[0.],[0.],[0.]
0,42,47,[1.3271513e-18],[0.],[0.],[0.],[0.],[0.]
0,20,47,[0.],[0.],[0.],[0.],[0.],[0.]
0,37,47,[8.399912e-21],[0.],[0.],[0.],[0.],[0.]
0,43,47,[9.671726e-20],[0.],[0.],[0.],[0.],[0.]
0,48,38,[1.3668054e-21],[0.],[0.],[0.],[0.],[0.]
0,3,47,[0.],[0.],[0.],[0.],[0.],[0.]
0,47,47,[0.],[0.],[0.],[0.],[0.],[0.]
0,38,13,[1.0511449e-10],[0.],[0.],[0.],[0.],[0.]
0,10,9,[1.5953258e-10],[0.],[0.],[0.],[0.],[0.]
0,19,27,[1.05113605e-10],[0.],[0.],[0.],[0.],[0.]
0,29,27,[5.4449497e-11],[0.],[0.],[0.],[0.],[0.]
0,21,17,[5.4598895e-11],[0.],[0.],[0.],[0.],[0.]
0,34,10,[2.5413601e-12],[0.],[0.],[0.],[0.],[0.]
0,17,16,[5.640186e-11],[0.],[0.],[0.],[0.],[0.]
0,20,26,[5.324316e-11],[0.],[0.],[0.],[0.],[0.]
0,8,23,[5.3959403e-16],[0.],[0.],[0.],[0.],[0.]
0,30,25,[2.3318696e-15],[0.],[0.],[0.],[0.],[0.]
0,20,7,[5.4448925e-11],[0.],[0.],[0.],[0.],[0.]
0,18,13,[2.1213516e-10],[0.],[0.],[0.],[0.],[0.]
0,30,24,[3.7431775e-14],[0.],[0.],[0.],[0.],[0.]
0,9,37,[5.2602166e-11],[0.],[0.],[0.],[0.],[0.]
0,16,9,[1.9371672e-12],[0.],[0.],[0.],[0.],[0.]
0,17,47,[0.],[0.],[0.],[0.],[0.],[0.]
0,2,9,[8.831735e-20],[0.],[0.],[0.],[0.],[0.]
0,2,32,[1.793743e-24],[0.],[0.],[0.],[0.],[0.]
0,19,2,[8.550585e-21],[0.],[0.],[0.],[0.],[0.]
0,40,2,[1.1999873e-21],[0.],[0.],[0.],[0.],[0.]
0,12,47,[2.1457317e-22],[0.],[0.],[0.],[0.],[0.]
0,47,16,[0.],[0.],[0.],[0.],[0.],[0.]
0,47,29,[8.907947e-17],[0.],[0.],[0.],[0.],[0.]
0,47,15,[1.5067443e-22],[0.],[0.],[0.],[0.],[0.]
0,47,19,[0.],[0.],[0.],[0.],[0.],[0.]
0,24,2,[2.6876455e-19],[0.],[0.],[0.],[0.],[0.]
0,2,10,[4.2017495e-21],[0.],[0.],[0.],[0.],[0.]
0,2,45,[0.],[0.],[0.],[0.],[0.],[0.]
0,37,2,[4.2645305e-21],[0.],[0.],[0.],[0.],[0.]
0,2,26,[6.351521e-18],[0.],[0.],[0.],[0.],[0.]
0,2,7,[8.831735e-20],[0.],[0.],[0.],[0.],[0.]
0,5,47,[0.],[0.],[0.],[0.],[0.],[0.]
0,25,28,[1.0704321e-10],[0.],[0.],[0.],[0.],[0.]
0,29,24,[2.5133285e-12],[0.],[0.],[0.],[0.],[0.]
0,10,28,[6.009562e-14],[0.],[0.],[0.],[0.],[0.]
0,2,14,[0.],[0.],[0.],[0.],[0.],[0.]
0,43,2,[0.],[0.],[0.],[0.],[0.],[0.]
0,2,43,[0.],[0.],[0.],[0.],[0.],[0.]
0,2,40,[1.4999842e-22],[0.],[0.],[0.],[0.],[0.]
0,2,42,[0.],[0.],[0.],[0.],[0.],[0.]
0,25,2,[8.550585e-21],[0.],[0.],[0.],[0.],[0.]
0,18,47,[0.],[0.],[0.],[0.],[0.],[0.]
0,47,26,[8.567847e-21],[0.],[0.],[0.],[0.],[0.]
0,2,41,[1.6143688e-23],[0.],[0.],[0.],[0.],[0.]
0,47,24,[1.216131e-21],[0.],[0.],[0.],[0.],[0.]
0,47,7,[0.],[0.],[0.],[0.],[0.],[0.]
0,47,22,[1.1999873e-21],[0.],[0.],[0.],[0.],[0.]
0,23,2,[6.439838e-18],[0.],[0.],[0.],[0.],[0.]
0,2,29,[2.645646e-19],[0.],[0.],[0.],[0.],[0.]
0,47,9,[3.0067283e-22],[0.],[0.],[0.],[0.],[0.]
0,2,38,[0.],[0.],[0.],[0.],[0.],[0.]
0,41,47,[6.439854e-18],[0.],[0.],[0.],[0.],[0.]
0,46,47,[0.],[0.],[0.],[0.],[0.],[0.]
0,2,25,[2.645646e-19],[0.],[0.],[0.],[0.],[0.]
0,32,47,[1.201781e-21],[0.],[0.],[0.],[0.],[0.]
0,16,47,[0.],[0.],[0.],[0.],[0.],[0.]
0,46,2,[0.],[0.],[0.],[0.],[0.],[0.]
0,2,12,[0.],[0.],[0.],[0.],[0.],[0.]
0,27,47,[1.26790325e-20],[0.],[0.],[0.],[0.],[0.]
0,1,42,[0.],[0.],[0.],[0.],[0.],[0.]
0,15,2,[1.793743e-24],[0.],[0.],[0.],[0.],[0.]
0,47,27,[2.6459688e-19],[0.],[0.],[0.],[0.],[0.]
0,31,2,[4.3660976e-21],[0.],[0.],[0.],[0.],[0.]
0,47,14,[4.199956e-21],[0.],[0.],[0.],[0.],[0.]
0,17,2,[0.],[0.],[0.],[0.],[0.],[0.]
0,2,11,[1.5067443e-22],[0.],[0.],[0.],[0.],[0.]
0,9,47,[1.1999873e-21],[0.],[0.],[0.],[0.],[0.]
0,30,2,[8.848349e-20],[0.],[0.],[0.],[0.],[0.]
0,47,13,[8.833349e-20],[0.],[0.],[0.],[0.],[0.]
0,4,47,[0.],[0.],[0.],[0.],[0.],[0.]
0,47,4,[0.],[0.],[0.],[0.],[0.],[0.]
0,19,47,[0.],[0.],[0.],[0.],[0.],[0.]
0,47,41,[8.908072e-17],[0.],[0.],[0.],[0.],[0.]
0,33,2,[4.199956e-21],[0.],[0.],[0.],[0.],[0.]
0,47,21,[6.457475e-23],[0.],[0.],[0.],[0.],[0.]
0,2,39,[1.6143688e-23],[0.],[0.],[0.],[0.],[0.]
0,47,2,[0.],[0.],[0.],[0.],[0.],[0.]
0,21,47,[0.],[0.],[0.],[0.],[0.],[0.]
0,27,23,[3.706197e-07],[0.],[0.],[0.],[0.],[0.]
0,41,35,[3.7492433e-07],[0.],[0.],[0.],[0.],[0.]
0,23,37,[3.7040826e-07],[0.],[0.],[0.],[0.],[0.]
0,38,29,[3.705128e-07],[0.],[0.],[0.],[0.],[0.]
0,11,10,[3.705127e-07],[0.],[0.],[0.],[0.],[0.]
0,11,37,[3.7040894e-07],[0.],[0.],[0.],[0.],[0.]
0,36,22,[3.7481922e-07],[0.],[0.],[0.],[0.],[0.]
0,39,25,[3.7492677e-07],[0.],[0.],[0.],[0.],[0.]
0,19,20,[3.79232e-07],[0.],[0.],[0.],[0.],[0.]
0,29,8,[3.7040894e-07],[0.],[0.],[0.],[0.],[0.]
0,13,24,[3.7040763e-07],[0.],[0.],[0.],[0.],[0.]
0,23,34,[3.7046271e-07],[0.],[0.],[0.],[0.],[0.]
0,36,27,[3.7041087e-07],[0.],[0.],[0.],[0.],[0.]
0,20,37,[3.7056597e-07],[0.],[0.],[0.],[0.],[0.]
0,28,31,[3.7045965e-07],[0.],[0.],[0.],[0.],[0.]
0,39,28,[3.7056722e-07],[0.],[0.],[0.],[0.],[0.]
0,33,37,[3.705127e-07],[0.],[0.],[0.],[0.],[0.]
0,34,18,[3.7040897e-07],[0.],[0.],[0.],[0.],[0.]
0,17,32,[3.748211e-07],[0.],[0.],[0.],[0.],[0.]
0,36,16,[3.7481922e-07],[0.],[0.],[0.],[0.],[0.]
0,19,19,[3.7497685e-07],[0.],[0.],[0.],[0.],[0.]
0,27,27,[3.7040957e-07],[0.],[0.],[0.],[0.],[0.]
