Epoch,Training Loss,Validation Loss
1,3.9276628802358697,2.7228903100706408
2,2.2598395753253913,1.4849157822357932
3,1.2024247128282186,0.7436010806564152
4,0.5864251205898027,0.340069662207423
5,0.26188452237392074,0.1445977069136241
6,0.11082872659569218,0.06288751146848794
7,0.05067760233484102,0.034351738247645446
8,0.03057648672820722,0.025425453717207475
9,0.02385984214494637,0.020988317052603584
10,0.019484316295947143,0.016343115579205366
11,0.014651412061685297,0.011332019999729317
12,0.009766434472594277,0.006919072460572121
13,0.005742734839886515,0.0037425415614276377
14,0.0030109359972539623,0.001841438327833396
15,0.0014612589519504024,0.0008881809602667245
16,0.0007214719631127818,0.0004812201027662643
17,0.00041491359478427694,0.00031706092738577687
18,0.00028533867770496994,0.000230894946336778
19,0.00020717405370686731,0.00016229510381064223
20,0.00014138775239181992,0.00010285148976696305
21,8.640795403165232e-05,5.792885933257111e-05
22,4.717496549538154e-05,2.974773789149428e-05
23,2.394874930522428e-05,1.5113174727121724e-05
24,1.2475819179910801e-05,8.597116421139597e-06
25,7.45590636937369e-06,5.6905721084412426e-06
26,5.062325575924618e-06,3.955880325583392e-06
27,3.4738994181948927e-06,2.5866465178814958e-06
28,2.2003407125012358e-06,1.5184666166306412e-06
29,1.251627238137505e-06,8.105471090380938e-07
30,6.582704940076604e-07,4.227236902079518e-07
31,3.499242638988713e-07,2.412166449514734e-07
32,2.0876735019987882e-07,1.5807826101904094e-07
33,1.3987250302761626e-07,1.0782935432143585e-07
34,9.46084581155496e-08,7.035143463583928e-08
35,5.984015605035702e-08,4.1899637714238654e-08
36,3.4990074675790786e-08,2.3605380338492773e-08
37,2.0231858113103674e-08,1.4652490250753809e-08
38,1.3218311992940314e-08,1.0736722839164727e-08
39,9.799888721022479e-09,8.336003655603399e-09
40,8.308879987983924e-09,7.719217300044336e-09
41,7.48666325050016e-09,6.5585123166685135e-09
42,6.356508721138469e-09,5.070608997159832e-09
43,4.908115370840546e-09,4.2265895491020634e-09
44,4.562216180296061e-09,6.215193863534611e-09
45,5.56127237302873e-09,4.660250792630006e-09
46,4.855597969845663e-09,5.0085891093128536e-09
47,5.187849790557347e-09,5.311594829292994e-09
48,5.236036996648514e-09,5.472147730141168e-09
49,5.423745630559111e-09,6.475281022888471e-09
50,6.157020056121042e-09,7.242752466798104e-09
51,6.944229351422864e-09,6.403180607275078e-09
52,6.807189731890198e-09,6.501941785538939e-09
53,6.910672476657951e-09,7.511348454919885e-09
54,7.677329158491282e-09,8.390434904734023e-09
55,7.937211401480294e-09,8.528133556915009e-09
56,7.646738458964974e-09,8.146098209967165e-09
57,8.753514345861475e-09,9.745435231824324e-09
58,9.369971643540332e-09,8.397235965942074e-09
59,8.79121465383026e-09,9.924201170228808e-09
60,1.0453110331507471e-08,1.1733192112605169e-08
61,1.170253962102503e-08,1.2630675918837917e-08
62,1.3685603884810905e-08,1.6433510092835578e-08
63,1.614408051762025e-08,1.6026562895626643e-08
64,1.565939537422818e-08,1.4232403500968884e-08
65,1.5500058647087086e-08,1.8383966289197496e-08
66,1.8759044189921135e-08,1.941156804803044e-08
67,1.9973755396347087e-08,2.083685156326285e-08
68,2.015204451661134e-08,1.8628328024374182e-08
69,1.924466712061213e-08,2.1374467856320984e-08
