Epoch,Training Loss,Validation Loss
1,21.04168255061816,19.285053301598605
2,18.85979067952693,17.239064768134526
3,16.848148426879952,15.361180059771904
4,15.003678155456404,13.646172100831878
5,13.320755630152242,12.087067281867476
6,11.792140031682615,10.675713550154699
7,10.409501733968659,9.403190835961746
8,9.163813284907583,8.260135989781359
9,8.045660751643318,7.237005380165781
10,7.045495450400423,6.324285950153927
11,6.153835398735718,5.512660940572061
12,5.361422850753014,4.793136947276811
13,4.659344227372743,4.157137165056656
14,4.039117131963511,3.596565248189748
15,3.492748932485817,3.1038447183326365
16,3.0127719523968755,2.6719388691919566
17,2.5922599809410194,2.294355006934326
18,2.2248298636065003,1.9651367116708558
19,1.9046318287190958,1.6788473848457606
20,1.6263316237459928,1.4305474955372999
21,1.3850868010073483,1.2157677123632962
22,1.1765192888473743,1.0304796821129432
23,0.9966858581507,0.8710655443824272
24,0.8420475121487834,0.7342870838712668
25,0.709438681813238,0.6172552902514314
26,0.596036945507871,0.5174008169052975
27,0.49933372218146593,0.43244568230433983
28,0.4171062577832373,0.3603764207593591
29,0.3473910909066227,0.29941881935462134
30,0.2884591230858284,0.24801430399777719
31,0.23879234061017432,0.20479797902918748
32,0.19706218796116337,0.16857830484919314
33,0.1621095734132567,0.13831837924968546
34,0.13292646866514782,0.11311877132211828
35,0.108639049536737,0.09220184752656863
36,0.08849231418994453,0.07489751437193107
37,0.07183610186706747,0.060630298282974913
38,0.058112432706529105,0.04890768316145983
39,0.04684408876538921,0.03930962339166241
40,0.037624353802158846,0.03147915127182452
41,0.030107831330872987,0.0251139986357481
42,0.024002260457488135,0.019959152681405516
43,0.019061250158660375,0.015800268860257462
44,0.015077855238244849,0.012457865931119328
45,0.011878919767737074,0.009782231897860531
46,0.009320117453855492,0.0076489730319593335
47,0.00728162179783815,0.005955141448797865
48,0.005664342253385803,0.004615880587060113
49,0.004386666571049253,0.003561532063072444
50,0.0033816536518759344,0.0027351515436690064
51,0.0025946253698242664,0.002090385317357704
52,0.001981109888437021,0.0015896634003150752
53,0.0015050931235312795,0.0012026689873873763
54,0.0011375389581657139,0.0009050479470112552
55,0.0008551426717483967,0.0006773257619734608
56,0.0006392857105782604,0.0005040028337828578
57,0.00047516339939825787,0.0003728023603907822
58,0.00035106043880389094,0.0002740480604727374
59,0.00025775204941447905,0.00020015183860541731
60,0.00018801139232402103,0.00014519404958480628
61,0.00013620640992859814,0.00010458134849645047
62,9.797151334139093e-05,7.476920963663145e-05
63,6.994159090243602e-05,5.3038060440373575e-05
64,4.953763095746678e-05,3.7313627188507753e-05
65,3.47948620157755e-05,2.602354219340293e-05
66,2.422572757172721e-05,1.798352819673914e-05
67,1.6711243479761997e-05,1.2307572951356744e-05
68,1.1415351293256359e-05,8.337452036247909e-06
69,7.71779726126419e-06,5.587765727858183e-06
70,5.161848833512819e-06,3.703341727899776e-06
71,3.413823937136152e-06,2.4264345793483147e-06
72,2.2319675990332895e-06,1.571638054791899e-06
73,1.4426787019024786e-06,1.0068309271817586e-06
74,9.224790096877623e-07,6.38811000400319e-07
75,5.844383906502937e-07,4.025470822671651e-07
76,3.6803420874691065e-07,2.532029029659972e-07
77,2.316381373537183e-07,1.6026897286260358e-07
78,1.4699804138397903e-07,1.0328486012112867e-07
79,9.522278148334926e-08,6.875151865707196e-08
80,6.388974833375855e-08,4.792628469426387e-08
81,4.498366914149372e-08,3.526643338873078e-08
82,3.344508117587661e-08,2.7344538017867924e-08
83,2.6161419611010244e-08,2.21033303404795e-08
84,2.1275912831344848e-08,1.8351985234013987e-08
85,1.772193234052486e-08,1.5431851212243214e-08
86,1.4915162614120043e-08,1.299938241927253e-08
87,1.2554609564014866e-08,1.0888814670804536e-08
88,1.0497407568960136e-08,9.028066633513235e-09
89,8.682689455533089e-09,7.389374987437983e-09
90,7.0873232061891495e-09,5.961983288758758e-09
91,5.7017612218258755e-09,4.738353864730489e-09
92,4.518128104680609e-09,3.7082959446665483e-09
93,3.5253967126070126e-09,2.857424465272049e-09
94,2.708379774484008e-09,2.1677393365104403e-09
95,2.0485363397879004e-09,1.6190294619949336e-09
96,1.5254294562971403e-09,1.1903938002722963e-09
97,1.1182121692311939e-09,8.615300656703578e-10
98,8.068479921965533e-10,6.13668927976186e-10
99,5.729701146008935e-10,4.301461350244253e-10
100,4.003864220544493e-10,2.966644281371281e-10
101,2.752890931797796e-10,2.0132068030467708e-10
102,1.8624246834262552e-10,1.344661438780979e-10
103,1.2402253448158515e-10,8.84685140277904e-11
104,8.136858618315556e-11,5.743305690768672e-11
105,5.2697062118952824e-11,3.690904435830406e-11
106,3.380975380672161e-11,2.3611628576638962e-11
107,2.162005406715985e-11,1.5170252440823655e-11
108,1.3909628722620032e-11,9.911609696320521e-12
109,9.120905386401594e-12,6.6845557493309994e-12
110,6.187456886316187e-12,4.7170848889809565e-12
111,4.3982816912826286e-12,3.5077402143596994e-12
112,3.2934076763362352e-12,2.7404162236767933e-12
113,2.585153295290909e-12,2.2235029574333027e-12
114,2.100496401469556e-12,1.845399705239467e-12
115,1.7403353110225164e-12,1.5452688195682584e-12
116,1.4511250250816159e-12,1.292814152513587e-12
117,1.2061233694455414e-12,1.074156407287322e-12
118,9.93210750058321e-13,8.843469806722806e-13
119,8.076239093810694e-13,7.207452656300709e-13
120,6.476424340045142e-13,5.819739868205935e-13
121,5.1205534484756e-13,4.651678355525994e-13
122,3.995698761960185e-13,3.690164006710003e-13
123,3.0835549087798603e-13,2.914540633816917e-13
124,2.362531922973485e-13,2.3057863950542834e-13
125,1.8049717958184287e-13,1.8499171001435475e-13
126,1.3837882079511227e-13,1.5209746807074687e-13
127,1.0737290668232982e-13,1.2855669442762283e-13
128,8.506220819785674e-14,1.1303208234584603e-13
129,6.935505288132723e-14,1.0175234410890615e-13
130,5.859164011908051e-14,9.364952623526053e-14
131,5.134941316331658e-14,8.749255523370856e-14
132,4.662041317080604e-14,8.29266399281451e-14
133,4.3644267319048683e-14,7.935459899121842e-14
134,4.175702364149468e-14,7.736246349767417e-14
135,4.057299656135634e-14,7.649339267170021e-14
136,3.9880417417227085e-14,7.637191412549939e-14
137,3.9404265340631865e-14,7.581880784506567e-14
138,3.91193644005348e-14,7.576857726968128e-14
139,3.891205350658112e-14,7.65666700258799e-14
140,3.8752321943433496e-14,7.695437546621652e-14
141,3.8620173894525584e-14,7.668959224249032e-14
142,3.8503259863952935e-14,7.667535113181202e-14
143,3.8407344153425433e-14,7.675877057734738e-14
144,3.8306547136422266e-14,7.770047849579595e-14
145,3.8325608728030176e-14,7.931212563104134e-14
146,3.822053557933282e-14,7.975797325160633e-14
147,3.819055353020626e-14,7.973934424561427e-14
148,3.815868993973163e-14,7.920507794087262e-14
149,3.811151729913892e-14,7.847665898899555e-14
150,3.81761228665644e-14,7.677105487335022e-14
151,3.8070438660725735e-14,7.647667796414044e-14
152,3.805325072574477e-14,7.747948187390897e-14
153,3.806336223730323e-14,7.743777249125918e-14
154,3.8036211863806454e-14,7.582263236078746e-14
155,3.807396121442216e-14,7.40933825634077e-14
156,3.8015964478426197e-14,7.246895019305954e-14
157,3.8036562605573714e-14,7.078643474051068e-14
158,3.8154186274403787e-14,6.925783617613796e-14
159,3.822350426045171e-14,6.876779809090948e-14
160,3.824997250622192e-14,6.860514979480401e-14
161,3.82611069200778e-14,6.84140675531633e-14
162,3.8244559736743234e-14,6.934511643028157e-14
163,3.825288464093475e-14,7.098407997833958e-14
164,3.811740843100582e-14,7.211435456577241e-14
165,3.80737176236224e-14,7.281525279162883e-14
166,3.803972530790609e-14,7.410265813366718e-14
167,3.8042217824923246e-14,7.69961768167473e-14
168,3.808713274669546e-14,8.020572542395692e-14
169,3.803874102684528e-14,8.239703126298825e-14
170,3.8227531991890233e-14,8.432924245371598e-14
171,3.825737171821302e-14,8.33856506326594e-14
172,3.820098650759433e-14,8.090142987927093e-14
173,3.809013355129677e-14,7.904990107673813e-14
174,3.8045846697531224e-14,7.79026707394151e-14
175,3.8020325772382904e-14,7.706283232672344e-14
176,3.802963834399789e-14,7.631158935367016e-14
177,3.802942896972035e-14,7.579996868910001e-14
178,3.8089300735153713e-14,7.48743873289583e-14
179,3.8034086428733217e-14,7.541826068291458e-14
180,3.8018976164013434e-14,7.582781338284004e-14
181,3.803209865816108e-14,7.56701316507589e-14
182,3.800267133680386e-14,7.473358554855633e-14
183,3.801672903490798e-14,7.395876155894234e-14
184,3.805592989105704e-14,7.327888842700838e-14
185,3.806000930194125e-14,7.308497318317038e-14
186,3.804929646766303e-14,7.360356137550118e-14
187,3.80364214098675e-14,7.472356068217825e-14
188,3.806392907556175e-14,7.58705346960375e-14
189,3.801292935876994e-14,7.666813272189347e-14
190,3.805769531790692e-14,7.820396472438651e-14
191,3.807043195194007e-14,7.871986278101644e-14
